name | score
Harvard Univerity | 1712.88
Massachusetts Institute of Technology | 1632.76
California Institute of Technology | 1597.29
The University of Tulsa | 1583.75
Washington University in St. Louis | 1577.56
University of Alabama at Birmingham | 1556.58
Wesleyan University | 1555.61
University of Pennsylvania | 1555.49
Cornell University Ithaca | 1548.71
United States Military Academy | 1541.21
University of California, Riverside | 1540.12
University of Delaware | 1540.07
University of Colorado Boulder | 1540
Georgetown University | 1539.93
Duke University | 1539.93
The University of Alabama | 1539.93
Southern New Hampshire University | 1539.34
University of California, Irvine | 1538.85
University of North Carolina at Chapel Hill | 1538.85
George Washington University | 1538.85
Vassar College | 1538.85
Seton Hall University | 1538.85
University of Massachusetts Boston | 1538.85
University of California, Santa Cruz | 1538.85
Florida Atlantic University | 1538.85
Howard University | 1538.85
Barnard College | 1538.85
University of Chicago | 1538.85
Oberlin College | 1538.85
Mount Holyoke College | 1538.59
University of Louisville | 1537.71
James Madison University | 1521.21
Northwestern University | 1521.15
College of William & Mary | 1521.15
Washington and Lee University | 1521.15
University of California, Berkeley | 1521.08
University of South Carolina | 1520.07
The Ohio State University | 1520.07
Oregon Health & Science University | 1520
Wayne State University | 1520
Missouri University of Science and Technology | 1520
University of Wisconsin-Green Bay | 1520
The Rockefeller University | 1520
Texas A&M University | 1520
Yale University | 1520
Ithaca College | 1520
University of Maryland | 1520
University of Massachusetts Lowell | 1520
American University | 1520
Kansas State University | 1520
University at Buffalo, State University of New York | 1520
Boston University | 1520
Columbia University in the City of New York | 1520
Pepperdine University | 1520
Stevens Institute of Technology | 1520
Georgia Institute of Technology | 1520
Williams College | 1520
West Virginia University | 1520
United States Naval Academy | 1520
University of Minnesota-Twin Cities | 1520
Hanover College | 1520
University of California, San Diego | 1520
Colorado College | 1520
Tulane University | 1520
Towson University | 1520
Gettysburg College | 1520
St. John's University | 1520
Central Washington University | 1520
University of Maryland, Baltimore | 1520
University of Nevada, Las Vegas | 1520
Shippensburg University of Pennsylvania | 1519.93
The University of Texas at Austin | 1519.93
University of Missouri-St. Louis | 1519.93
University of North Carolina at Charlotte | 1518.92
Florida State University | 1518.91
Carnegie Mellon University | 1518.85
University of Wisconsin-Milwaukee | 1518.85
Babson College | 1518.85
University of Rhode Island | 1518.85
Trinity College | 1518.85
Ohio University | 1518.85
University of Missouri-Kansas City | 1518.85
Hofstra University | 1518.85
New Jersey Institute of Technology | 1518.85
Brigham Young University | 1518.78
University of Missouri | 1518.78
Temple University | 1517.71
University of Pittsburgh | 1516.62
Kennesaw State University | 1513.43
Dartmouth College | 1509.94
Wright State University | 1504.33
DePaul University | 1504.08
Virginia Commonwealth University | 1502.3
University of California, Los Angeles | 1502.28
Penn State University | 1502.23
Pace University | 1502.17
University of Florida | 1501.21
Texas Tech University | 1501.15
University of Kansas | 1501.15
California State University, Los Angeles | 1501.15
University of Central Arkansas | 1501.15
Loma Linda University | 1501.15
Fairleigh Dickinson University | 1501.15
DeVry University | 1501.15
Smith College | 1501.15
Dickinson College | 1501.15
The University of Texas at San Antonio | 1501.14
Wheaton College | 1500.01
Princeton University | 1500
University of Wisconsin-Madison | 1500
Wake Forest University | 1500
Baylor University | 1500
Eastern Kentucky University | 1500
East Carolina University | 1500
Washington State University | 1500
Skidmore College | 1500
Liberty University | 1500
Oakland University | 1500
University of San Diego | 1500
United States Air Force Academy | 1500
The University of Texas Health Science Center at Houston | 1500
North Carolina State University | 1500
Hobart and William Smith Colleges | 1500
University of Michigan | 1500
The Catholic University of America | 1500
Marist College | 1500
Valencia College | 1500
Indiana University Bloomington | 1500
Stockton University | 1500
University of Wisconsin-Eau Claire | 1500
